method,malicious,accuracy,f1,fpr,fnr,asr,tn,fp,fn,tp,training_time_sec
fedavg,0.0,0.9904468198576298,0.9948203464836188,0.1099180559480079,0.000580984136607,0.0580984136607052,3150,389,23,39565,193.0409643650055
krum,0.0,0.9806849537412756,0.9895858076937504,0.2322690025430912,0.0002778619783772,0.0277861978377286,2717,822,11,39577,196.110121011734
gm,0.0,0.990168571892318,0.9946702868491842,0.1133088443063012,0.000580984136607,0.0580984136607052,3138,401,23,39565,196.40036964416504
trust_gm,0.0,0.9908641918055974,0.9950453962425492,0.1045493077140435,0.0006062443164595,0.0606244316459533,3169,370,24,39564,198.50241923332212
fedavg,0.4,0.9359334059869688,0.9638932085778132,0.0155411133088443,0.0684045670405173,6.840456704051732,3484,55,2708,36880,195.2162322998047
krum,0.4,0.9953857212419134,0.997484419836424,0.0183667702740887,0.0033848641002323,0.3384864100232393,3474,65,134,39454,198.1338946819305
gm,0.4,0.9974262063208664,0.9985970500132711,0.0076292738061599,0.0021218551076083,0.2121855107608366,3512,27,84,39504,198.7673635482788
trust_gm,0.4,0.996985647042456,0.9983587101987224,0.0226052557219553,0.001263008992624,0.1263008992624027,3459,80,50,39538,198.107262134552
fedavg,0.2,0.9904004451967444,0.9947935006791088,0.1065272675897146,0.0009346266545417,0.093462665454178,3162,377,37,39551,193.72988271713257
krum,0.2,0.9894033899877108,0.9942474478556952,0.1022887821418479,0.0023997170859856,0.2399717085985652,3177,362,95,39493,196.8394041061401
gm,0.2,0.9903772578663018,0.9947817777163048,0.1085052274653857,0.0007830655754268,0.0783065575426897,3155,384,31,39557,196.01198148727417
trust_gm,0.2,0.9915829990493196,0.995432181102065,0.0926815484600169,0.0008841062948368,0.0884106294836819,3211,328,35,39553,196.4668893814087
fedavg,0.3,0.995153847937487,0.9973562040656268,0.012150324950551,0.0041931898555117,0.4193189855511771,3496,43,166,39422,194.71318697929385
krum,0.3,0.9828877501333272,0.9907627606578716,0.2057078270697937,0.0002526017985248,0.0252601798524805,2811,728,10,39578,195.74212384223935
gm,0.3,0.9911192524404664,0.995183419897632,0.1022887821418479,0.000530463776902,0.0530463776902091,3177,362,21,39567,196.2169344425201
trust_gm,0.3,0.9935307348065018,0.9964848622292776,0.0669680700762927,0.0010609275538041,0.1060927553804183,3302,237,42,39546,196.32235074043277
